capability_id,domain,surface,source_kind,old_menu_or_route,old_title,old_page_source,actions,permissions,data_scope,frontend_api_modules,frontend_api_ids,exception_branches,target_disposition,new_route,new_component,legacy_automated_tests,target_automated_tests,confirmation_status,implementation_status,target_evidence,target_notes,route_or_menu_evidence
VIEW-0011,workbench,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/dashboard/PieChart.vue,待盘点,待盘点,待核验,待盘点,待盘点,待盘点,待确认（保留/重设计/合并/下线）,待设计,待设计,erp-ui/test/frontendTestGate.test.js,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
VIEW-0012,workbench,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/dashboard/RaddarChart.vue,待盘点,待盘点,待核验,待盘点,待盘点,待盘点,待确认（保留/重设计/合并/下线）,待设计,待设计,erp-ui/test/frontendTestGate.test.js,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
VIEW-0013,drive,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/drive/components/DriveMoveDialog.vue,待盘点,待盘点,待核验,drive,FEAPI-0040 | FEAPI-0041 | FEAPI-0042 | FEAPI-0043 | FEAPI-0044 | FEAPI-0045 | FEAPI-0046 | FEAPI-0047 | FEAPI-0048 | FEAPI-0049 | FEAPI-0050 | FEAPI-0051 | FEAPI-0052 | FEAPI-0053 | FEAPI-0054,catch | error,待确认（保留/重设计/合并/下线）,待设计,待设计,erp-ui/test/cloudDriveDesktop.test.js,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
VIEW-0014,drive,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/drive/components/DriveNodeList.vue,待盘点,待盘点,待核验,待盘点,待盘点,待盘点,待确认（保留/重设计/合并/下线）,待设计,待设计,erp-ui/test/cloudDriveDesktop.test.js,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
VIEW-0015,drive,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/drive/components/DrivePreviewDialog.vue,待盘点,待盘点,待核验,待盘点,待盘点,error,待确认（保留/重设计/合并/下线）,待设计,待设计,erp-ui/test/cloudDriveDesktop.test.js,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
VIEW-0016,drive,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/drive/components/DriveSpaceSidebar.vue,待盘点,待盘点,待核验,待盘点,待盘点,待盘点,待确认（保留/重设计/合并/下线）,待设计,待设计,erp-ui/test/cloudDriveDesktop.test.js | erp-ui/test/cloudDriveQuotaManagement.test.js,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
VIEW-0017,drive,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/drive/components/DriveToolbar.vue,待盘点,待盘点,待核验,待盘点,待盘点,待盘点,待确认（保留/重设计/合并/下线）,待设计,待设计,erp-ui/test/cloudDriveDesktop.test.js,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
VIEW-0018,drive,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/drive/components/DriveTrashView.vue,待盘点,待盘点,待核验,待盘点,待盘点,失败,待确认（保留/重设计/合并/下线）,待设计,待设计,erp-ui/test/cloudDriveDesktop.test.js | erp-ui/test/cloudDriveQuotaManagement.test.js,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
VIEW-0019,drive,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/drive/components/DriveUploadQueue.vue,待盘点,待盘点,待核验,待盘点,待盘点,error | 失败,待确认（保留/重设计/合并/下线）,待设计,待设计,erp-ui/test/cloudDriveDesktop.test.js,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
VIEW-0020,drive,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/drive/components/quota/DriveCapacityPanel.vue,待盘点,待盘点,存在组织/数据范围线索，待契约核验,待盘点,待盘点,error | 失败,待确认（保留/重设计/合并/下线）,待设计,待设计,erp-ui/test/cloudDriveQuotaManagement.test.js,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
VIEW-0021,drive,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/drive/components/quota/DriveOrganizationQuotaPanel.vue,待盘点,待盘点,存在组织/数据范围线索，待契约核验,待盘点,待盘点,error | 异常,待确认（保留/重设计/合并/下线）,待设计,待设计,erp-ui/test/cloudDriveQuotaManagement.test.js,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
VIEW-0022,drive,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/drive/components/quota/DrivePostQuotaPanel.vue,待盘点,待盘点,待核验,待盘点,待盘点,catch | error,待确认（保留/重设计/合并/下线）,待设计,待设计,erp-ui/test/cloudDriveQuotaManagement.test.js,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
VIEW-0023,drive,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/drive/components/quota/DriveQuotaCenterDrawer.vue,待盘点,待盘点,存在组织/数据范围线索，待契约核验,drive/admin,FEAPI-0024 | FEAPI-0025 | FEAPI-0026 | FEAPI-0027 | FEAPI-0028 | FEAPI-0029 | FEAPI-0030 | FEAPI-0031 | FEAPI-0032 | FEAPI-0033 | FEAPI-0034 | FEAPI-0035 | FEAPI-0036 | FEAPI-0037 | FEAPI-0038 | FEAPI-0039,catch | error | 失败 | 异常,待确认（保留/重设计/合并/下线）,待设计,待设计,erp-ui/test/cloudDriveQuotaManagement.test.js | erp-ui/test/displayEnumLocalization.test.js,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
VIEW-0024,drive,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/drive/components/quota/DriveQuotaImpactDialog.vue,待盘点,待盘点,待核验,待盘点,待盘点,待盘点,待确认（保留/重设计/合并/下线）,待设计,待设计,erp-ui/test/cloudDriveQuotaManagement.test.js,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
VIEW-0025,drive,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/drive/components/quota/DriveUserQuotaPanel.vue,待盘点,待盘点,待核验,待盘点,待盘点,catch | error,待确认（保留/重设计/合并/下线）,待设计,待设计,erp-ui/test/cloudDriveQuotaManagement.test.js,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
VIEW-0026,drive,desktop,unmapped-page-candidate,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/drive/index.vue,待盘点,待盘点,待核验,drive,FEAPI-0040 | FEAPI-0041 | FEAPI-0042 | FEAPI-0043 | FEAPI-0044 | FEAPI-0045 | FEAPI-0046 | FEAPI-0047 | FEAPI-0048 | FEAPI-0049 | FEAPI-0050 | FEAPI-0051 | FEAPI-0052 | FEAPI-0053 | FEAPI-0054,catch | conflict | error,待确认（保留/重设计/合并/下线）,待设计,待设计,erp-ui/test/cloudDriveDesktop.test.js | erp-ui/test/cloudDriveQuotaManagement.test.js | erp-ui/test/mobileCloudDrive.test.js,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
VIEW-0027,platform,desktop,route-page,/401,首页,erp-ui/src/views/error/401.vue,edit,system:user:edit,待核验,待盘点,待盘点,401,重设计,/access-denied,erp-ui-next/src/pages/system/AccessDeniedPage.vue,待补齐,erp-ui-next/src/app/router/route-access.test.ts,平台骨架已验证，最终浏览器矩阵待确认,部分实现,docs/ERP-NEW_2-前端平台能力权限动作同源门禁切片检查点-20260803.md,已实现默认拒绝与无权访问路由；尚缺系统状态页专属渲染测试和真实会话浏览器矩阵。,erp-ui/src/router/index.js:83
VIEW-0028,platform,desktop,route-page,/404,首页,erp-ui/src/views/error/404.vue,待盘点,待盘点,待核验,待盘点,待盘点,待盘点,重设计,/:pathMatch(.*)*,erp-ui-next/src/pages/system/NotFoundPage.vue,待补齐,erp-ui-next/src/app/router/route-access.test.ts,平台骨架已验证，最终浏览器矩阵待确认,部分实现,erp-ui-next/src/app/router/routes.ts,已实现未知路由兜底；尚缺系统状态页专属渲染测试和真实浏览器矩阵。,erp-ui/src/router/index.js:78
VIEW-0029,hr,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/hr/completeness/components/HrMasterDataIssues.vue,config | edit,hr:employee:edit | hr:onboarding:config | system:config:edit | system:dept:edit | system:post:edit,待核验,hr/completeness,FEAPI-0055 | FEAPI-0056 | FEAPI-0057 | FEAPI-0058 | FEAPI-0059 | FEAPI-0060,catch | error | 失败,待确认（保留/重设计/合并/下线）,待设计,待设计,erp-ui/test/hrEmployeeProfileInitialization.test.js | erp-ui/test/hrMasterDataGovernance.test.js,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
VIEW-0030,hr,desktop,unmapped-page-candidate,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/hr/completeness/index.vue,config | list | query,hr:employee:list | hr:employee:query | hr:onboarding:config | hr:onboarding:list | hr:onboarding:query,存在组织/数据范围线索，待契约核验,hr/completeness,FEAPI-0055 | FEAPI-0056 | FEAPI-0057 | FEAPI-0058 | FEAPI-0059 | FEAPI-0060,catch | error | 失败,待确认（保留/重设计/合并/下线）,待设计,待设计,erp-ui/test/hrEmployeeMasterFields.test.js | erp-ui/test/hrMasterDataGovernance.test.js | erp-ui/test/hrMenuPermissions.test.js | erp-ui/test/hrMobileUsabilityAudit.test.js | erp-ui/test/hrPersonnelRoutes.test.js | erp-ui/test/hrWorkbenchUx.test.js | erp-ui/test/unifiedTodoMobile.test.js,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
VIEW-0031,hr,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/hr/components/HrEmployeeList.vue,confirm | edit | export | offboard | query | template | transfer,hr:employee:edit | hr:employee:export | hr:employee:offboard | hr:employee:query | hr:employee:transfer | hr:import:confirm | hr:import:template,存在组织/数据范围线索，待契约核验,hr/completeness | hr/employee | hr/legacyEmployeeImport | hr/onboarding,FEAPI-0055 | FEAPI-0056 | FEAPI-0057 | FEAPI-0058 | FEAPI-0059 | FEAPI-0060 | FEAPI-0061 | FEAPI-0062 | FEAPI-0063 | FEAPI-0064 | FEAPI-0065 | FEAPI-0066 | FEAPI-0067 | FEAPI-0068 | FEAPI-0069 | FEAPI-0070 | FEAPI-0071 | FEAPI-0072 | FEAPI-0073 | FEAPI-0084 | FEAPI-0085 | FEAPI-0086 | FEAPI-0087 | FEAPI-0088 | FEAPI-0089 | FEAPI-0090 | FEAPI-0091 | FEAPI-0092 | FEAPI-0093 | FEAPI-0094 | FEAPI-0095 | FEAPI-0096 | FEAPI-0097 | FEAPI-0098 | FEAPI-0099 | FEAPI-0100 | FEAPI-0101 | FEAPI-0102 | FEAPI-0103 | FEAPI-0104 | FEAPI-0105 | FEAPI-0106 | FEAPI-0107 | FEAPI-0108,catch | error | 失败,待确认（保留/重设计/合并/下线）,待设计,待设计,erp-ui/test/hrEmployeeMasterFields.test.js | erp-ui/test/hrEmployeeProfileInitialization.test.js | erp-ui/test/hrEmployeeTransferEffectiveDate.test.js | erp-ui/test/hrHealthCertificateUx.test.js | erp-ui/test/hrOffboardingAutomation.test.js | erp-ui/test/hrOnboardingApi.test.js | erp-ui/test/hrWorkbenchUx.test.js,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
VIEW-0032,hr,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/hr/components/HrEmployeeTransferDialog.vue,待盘点,待盘点,存在组织/数据范围线索，待契约核验,hr/employee,FEAPI-0061 | FEAPI-0062 | FEAPI-0063 | FEAPI-0064 | FEAPI-0065 | FEAPI-0066 | FEAPI-0067 | FEAPI-0068 | FEAPI-0069 | FEAPI-0070 | FEAPI-0071 | FEAPI-0072 | FEAPI-0073,catch | error | 失败,待确认（保留/重设计/合并/下线）,待设计,待设计,erp-ui/test/hrEmployeeMasterFields.test.js | erp-ui/test/hrEmployeeTransferEffectiveDate.test.js,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
VIEW-0033,hr,desktop,component,未在静态路由/增量菜单 SQL 中定位,待盘点,erp-ui/src/views/hr/components/HrOffboardingDialog.vue,待盘点,待盘点,待核验,hr/employee,FEAPI-0061 | FEAPI-0062 | FEAPI-0063 | FEAPI-0064 | FEAPI-0065 | FEAPI-0066 | FEAPI-0067 | FEAPI-0068 | FEAPI-0069 | FEAPI-0070 | FEAPI-0071 | FEAPI-0072 | FEAPI-0073,catch | error | 失败,待确认（保留/重设计/合并/下线）,待设计,待设计,erp-ui/test/hrOffboardingAutomation.test.js,待补齐,待确认,未开始,待补齐,待补齐,无直接入口证据，必须人工确认
